company_name,score
"3M",-0.1448
"A. O. Smith",0.2037
"Abbott Laboratories",0.1790
"AbbVie",-0.6952
"Accenture",0.1693
"Adobe Inc.",-1.0000
"Advanced Micro Devices",0.1052
"AES Corporation",0.0149
"Aflac",0.3205
"Agilent Technologies",0.5263
"Air Products",0.1331
"Airbnb",-0.0835
"Akamai Technologies",0.4088
"Albemarle Corporation",-0.5217
"Alexandria Real Estate Equities",-0.3609
"Align Technology",0.1848
"Allegion",-0.3357
"Alliant Energy",-0.5202
"Allstate",0.1494
"Alphabet Inc. (Class A)",-0.9679
"Alphabet Inc. (Class C)",0.0402
"Altria",0.7896
"Amazon",0.5019
"Amcor",-0.5683
"Ameren",-0.8041
"American Electric Power",-0.0152
"American Express",-1.0000
"American International Group",-0.6559
"American Tower",-0.5478
"American Water Works",0.3050
"Ameriprise Financial",0.1604
"Ametek",0.1060
"Amgen",-0.4273
"Amphenol",-0.3296
"Analog Devices",-0.6267
"Aon plc",0.9273
"APA Corporation",0.2365
"Apollo Global Management",0.3608
"Apple Inc.",0.1778
"Applied Materials",0.3808
"AppLovin",0.7156
"Aptiv",-0.7375
"Arch Capital Group",-0.3716
"Archer Daniels Midland",-0.8909
"Arista Networks",-0.1800
"Arthur J. Gallagher & Co.",-0.1164
"Assurant",0.0186
"AT&T",-0.4253
"Atmos Energy",0.6952
"Autodesk",-0.2919
"Automatic Data Processing",0.0186
"AutoZone",-0.7154
"AvalonBay Communities",0.1727
"Avery Dennison",-0.5973
"Axon Enterprise",1.0000
"Baker Hughes",-0.0276
"Ball Corporation",-0.2714
"Bank of America",0.2340
"Baxter International",0.2319
"Becton Dickinson",-0.2458
"Berkshire Hathaway",-0.0037
"Best Buy",-0.1719
"Bio-Techne",0.3649
"Biogen",-0.1555
"BlackRock",0.4713
"Blackstone Inc.",-0.2674
"Block, Inc.",0.0891
"BNY Mellon",-0.2506
"Boeing",-0.3613
"Booking Holdings",0.3276
"Boston Scientific",0.6726
"Bristol Myers Squibb",-0.0131
"Broadcom",0.6386
"Broadridge Financial Solutions",-0.3518
"Brown & Brown",0.1473
"Brown–Forman",-0.4449
"Builders FirstSource",-0.6885
"Bunge Global",0.8204
"BXP, Inc.",0.9107
"C.H. Robinson",0.1854
"Cadence Design Systems",0.8583
"Camden Property Trust",0.7574
"Campbell's Company (The)",-0.1909
"Capital One",0.2057
"Cardinal Health",0.6382
"Carnival",0.4941
"Carrier Global",0.0543
"Caterpillar Inc.",-0.1020
"Cboe Global Markets",-0.1601
"CBRE Group",-0.7802
"CDW Corporation",0.8610
"Cencora",-0.7655
"Centene Corporation",-0.5502
"CenterPoint Energy",-0.2946
"CF Industries",0.4336
"Charles River Laboratories",-0.3132
"Charles Schwab Corporation",-0.1180
"Charter Communications",0.1683
"Chevron Corporation",0.1510
"Chipotle Mexican Grill",-0.7651
"Chubb Limited",0.5541
"Church & Dwight",0.0905
"Cigna",-0.1468
"Cincinnati Financial",-1.0000
"Cintas",0.0941
"Cisco",-0.3112
"Citigroup",0.3652
"Citizens Financial Group",0.3089
"Clorox",-0.2682
"CME Group",0.2484
"CMS Energy",0.9180
"Coca-Cola Company (The)",-0.8398
"Cognizant",0.7816
"Coinbase",0.1434
"Colgate-Palmolive",0.4341
"Comcast",0.3646
"Conagra Brands",-0.3654
"ConocoPhillips",-0.1624
"Consolidated Edison",-0.1332
"Constellation Brands",-0.0503
"Constellation Energy",-0.6736
"Cooper Companies (The)",-0.4015
"Copart",-0.6712
"Corning Inc.",0.5538
"Corpay",0.2008
"Corteva",-0.0793
"CoStar Group",-0.1393
"Costco",-0.3102
"Coterra",0.1183
"CrowdStrike",-0.3052
"Crown Castle",0.2721
"CSX Corporation",-1.0000
"Cummins",-0.9637
"CVS Health",0.2977
"D. R. Horton",-0.3469
"Danaher Corporation",0.6079
"Darden Restaurants",-0.1296
"Datadog",-0.1471
"DaVita",1.0000
"Dayforce",-0.6207
"Deckers Brands",-0.2275
"Deere & Company",0.6224
"Dell Technologies",-0.3850
"Delta Air Lines",-0.2770
"Devon Energy",-0.7083
"Dexcom",0.1168
"Diamondback Energy",0.4673
"Digital Realty",0.7938
"Dollar General",-0.7176
"Dollar Tree",0.4020
"Dominion Energy",0.7290
"Domino's",0.3679
"DoorDash",0.4541
"Dover Corporation",0.0829
"Dow Inc.",0.3003
"DTE Energy",0.7960
"Duke Energy",0.7174
"DuPont",0.0617
"Eastman Chemical Company",0.1847
"Eaton Corporation",0.1524
"eBay Inc.",0.0626
"Ecolab",0.1378
"Edison International",-0.0303
"Edwards Lifesciences",-0.2577
"Electronic Arts",-0.1130
"Elevance Health",-0.1389
"Emcor",-0.7093
"Emerson Electric",-0.7702
"Entergy",-0.5303
"EOG Resources",0.5162
"EPAM Systems",-0.2039
"EQT Corporation",0.4721
"Equifax",0.2310
"Equinix",-0.5102
"Equity Residential",-0.8206
"Erie Indemnity",-0.3388
"Essex Property Trust",0.3730
"Estée Lauder Companies (The)",-0.4531
"Everest Group",-0.0209
"Evergy",0.8086
"Eversource Energy",-0.4513
"Exelon",0.1713
"Expand Energy",-0.0859
"Expedia Group",0.2568
"Expeditors International",0.1155
"Extra Space Storage",0.4390
"ExxonMobil",1.0000
"F5, Inc.",-0.1923
"FactSet",0.0963
"Fair Isaac",0.2632
"Fastenal",-0.2601
"Federal Realty Investment Trust",-0.5943
"FedEx",0.6189
"Fidelity National Information Services",0.1576
"Fifth Third Bancorp",0.2440
"First Solar",-0.1478
"FirstEnergy",-0.4725
"Fiserv",-0.2248
"Ford Motor Company",-0.0725
"Fortinet",-0.0764
"Fortive",0.7483
"Fox Corporation (Class A)",0.2201
"Fox Corporation (Class B)",-0.1429
"Franklin Resources",0.2070
"Freeport-McMoRan",0.1769
"Garmin",-0.9184
"Gartner",0.0828
"GE Aerospace",-1.0000
"GE HealthCare",-0.2038
"GE Vernova",-0.5957
"Gen Digital",0.0580
"Generac",0.0841
"General Dynamics",0.1216
"General Mills",-0.7856
"General Motors",-0.7052
"Genuine Parts Company",-0.3515
"Gilead Sciences",0.0462
"Global Payments",0.8099
"Globe Life",-0.4340
"GoDaddy",-0.1682
"Goldman Sachs",0.1021
"Halliburton",-0.3392
"Hartford (The)",0.1131
"Hasbro",0.4742
"HCA Healthcare",-0.3505
"Healthpeak Properties",-0.8662
"Henry Schein",0.3159
"Hershey Company (The)",-0.6793
"Hewlett Packard Enterprise",-0.0731
"Hilton Worldwide",0.2963
"Hologic",-0.1228
"Home Depot (The)",-0.6428
"Honeywell",-1.0000
"Hormel Foods",-0.2150
"Host Hotels & Resorts",0.2877
"Howmet Aerospace",0.1453
"HP Inc.",-0.0598
"Hubbell Incorporated",0.2660
"Humana",0.1056
"Huntington Bancshares",0.1862
"Huntington Ingalls Industries",-0.3546
"IBM",-0.3562
"IDEX Corporation",-0.1097
"Idexx Laboratories",0.1908
"Illinois Tool Works",1.0000
"Incyte",-0.1766
"Ingersoll Rand",0.6070
"Insulet Corporation",0.5093
"Intel",-0.5674
"Interactive Brokers",-0.4973
"Intercontinental Exchange",0.2980
"International Flavors & Fragrances",0.5261
"International Paper",-0.3273
"Interpublic Group of Companies (The)",0.0539
"Intuit",0.0956
"Intuitive Surgical",0.0855
"Invesco",0.0384
"Invitation Homes",-0.0067
"IQVIA",0.5185
"Iron Mountain",0.7046
"J.B. Hunt",0.4692
"J.M. Smucker Company (The)",-0.4739
"Jabil",0.4300
"Jack Henry & Associates",-0.0841
"Jacobs Solutions",-0.1866
"Johnson & Johnson",-0.6527
"Johnson Controls",-0.1609
"JPMorgan Chase",0.1386
"Kellanova",0.1807
"Kenvue",0.2119
"Keurig Dr Pepper",0.1103
"KeyCorp",-0.2597
"Keysight Technologies",-0.0868
"Kimberly-Clark",-0.1436
"Kimco Realty",0.8739
"Kinder Morgan",0.0371
"KKR & Co.",0.2798
"KLA Corporation",0.4132
"Kraft Heinz",0.6200
"Kroger",0.3764
"L3Harris",0.0311
"Labcorp",-0.2054
"Lam Research",-0.4928
"Lamb Weston",0.5391
"Las Vegas Sands",-0.2136
"Leidos",1.0000
"Lennar",0.5013
"Lennox International",0.6686
"Lilly (Eli)",-0.9487
"Linde plc",0.6970
"Live Nation Entertainment",0.7355
"LKQ Corporation",-0.1594
"Lockheed Martin",0.8221
"Loews Corporation",-0.6996
"Lowe's",-0.2277
"Lululemon Athletica",-0.1263
"LyondellBasell",0.8122
"M&T Bank",-0.7609
"Marathon Petroleum",-0.2689
"Marriott International",-0.2317
"Marsh McLennan",-0.3196
"Martin Marietta Materials",0.4009
"Masco",0.9054
"Mastercard",-0.5378
"Match Group",0.7629
"McCormick & Company",0.3229
"McDonald's",-1.0000
"McKesson Corporation",0.9337
"Medtronic",-0.1189
"Merck & Co.",-0.2974
"Meta Platforms",0.0582
"MetLife",-0.3146
"Mettler Toledo",-0.0074
"MGM Resorts",-0.6651
"Microchip Technology",-0.4714
"Micron Technology",0.3523
"Microsoft",-0.2675
"Mid-America Apartment Communities",-0.2159
"Moderna",0.1280
"Mohawk Industries",-0.7153
"Molina Healthcare",-0.5395
"Molson Coors Beverage Company",0.6305
"Mondelez International",-0.3267
"Monolithic Power Systems",0.5140
"Monster Beverage",0.1768
"Moody's Corporation",0.3688
"Morgan Stanley",0.6892
"Mosaic Company (The)",-1.0000
"Motorola Solutions",-0.0512
"MSCI Inc.",-0.1164
"Nasdaq, Inc.",0.4646
"NetApp",0.3305
"Netflix",0.2035
"Newmont",-0.5655
"News Corp (Class A)",-0.3176
"News Corp (Class B)",-0.1969
"NextEra Energy",-0.0458
"Nike, Inc.",0.3023
"NiSource",-0.4935
"Nordson Corporation",-0.3403
"Norfolk Southern",0.2846
"Northern Trust",-0.1638
"Northrop Grumman",0.6445
"Norwegian Cruise Line Holdings",0.0025
"NRG Energy",1.0000
"Nucor",0.8443
"Nvidia",0.2403
"NVR, Inc.",-0.4626
"NXP Semiconductors",0.3848
"O’Reilly Automotive",-0.8238
"Occidental Petroleum",-0.5702
"Old Dominion",-0.1648
"Omnicom Group",-0.6668
"ON Semiconductor",1.0000
"Oneok",-0.9000
"Oracle Corporation",0.0879
"Otis Worldwide",-0.7663
"Paccar",0.2527
"Packaging Corporation of America",0.9477
"Palantir Technologies",-0.6005
"Palo Alto Networks",-0.4458
"Paramount Skydance Corporation",-0.7997
"Parker Hannifin",0.1965
"Paychex",0.6168
"Paycom",0.7552
"PayPal",-0.6865
"Pentair",-0.2274
"PepsiCo",-0.3444
"Pfizer",-0.3223
"PG&E Corporation",-1.0000
"Philip Morris International",-0.6454
"Phillips 66",0.1697
"Pinnacle West Capital",0.5988
"PNC Financial Services",0.2842
"Pool Corporation",0.6314
"PPG Industries",0.9696
"PPL Corporation",0.6172
"Principal Financial Group",0.1159
"Procter & Gamble",0.8845
"Progressive Corporation",0.2842
"Prologis",0.5282
"Prudential Financial",0.0917
"PTC Inc.",-0.7078
"Public Service Enterprise Group",0.4601
"Public Storage",0.6158
"PulteGroup",0.8103
"Qualcomm",1.0000
"Quanta Services",-0.8052
"Quest Diagnostics",-0.4630
"Ralph Lauren Corporation",0.2532
"Raymond James Financial",-0.1866
"Realty Income",0.1665
"Regency Centers",-0.3848
"Regeneron Pharmaceuticals",0.6846
"Regions Financial Corporation",0.5003
"Republic Services",0.6483
"ResMed",0.9644
"Revvity",0.6482
"Robinhood Markets",-0.6554
"Rockwell Automation",0.2409
"Rollins, Inc.",-0.8915
"Roper Technologies",0.8546
"Ross Stores",-0.2386
"Royal Caribbean Group",0.0606
"RTX Corporation",0.6748
"S&P Global",0.0680
"Salesforce",-0.5790
"SBA Communications",0.2974
"Schlumberger",-0.2831
"Seagate Technology",0.5457
"Sempra",1.0000
"ServiceNow",0.0079
"Sherwin-Williams",-0.1006
"Simon Property Group",-1.0000
"Skyworks Solutions",0.4470
"Smurfit Westrock",0.0629
"Snap-on",0.1234
"Solstice Advanced Materials",0.5506
"Solventum",0.2930
"Southern Company",0.2575
"Southwest Airlines",-1.0000
"Stanley Black & Decker",0.0105
"Starbucks",-0.4634
"State Street Corporation",-0.4252
"Steel Dynamics",0.2443
"Steris",0.0992
"Stryker Corporation",-0.6804
"Supermicro",-0.5808
"Synchrony Financial",-1.0000
"Synopsys",0.6168
"Sysco",0.5648
"T-Mobile US",-0.8310
"T. Rowe Price",-0.1956
"Take-Two Interactive",-0.1098
"Tapestry, Inc.",-0.3173
"Targa Resources",0.0425
"Target Corporation",0.9114
"TE Connectivity",-0.2515
"Teledyne Technologies",0.0580
"Teradyne",0.3533
"Tesla, Inc.",0.1255
"Texas Instruments",0.1050
"Texas Pacific Land Corporation",0.0961
"Textron",-0.2392
"Thermo Fisher Scientific",-0.4518
"TJX Companies",0.4169
"TKO Group Holdings",-0.6445
"Tractor Supply",-0.1263
"Trade Desk (The)",-0.2145
"Trane Technologies",0.0739
"TransDigm Group",0.0815
"Travelers Companies (The)",-0.3007
"Trimble Inc.",0.2271
"Truist Financial",0.0394
"Tyler Technologies",-0.2348
"Tyson Foods",-0.4596
"U.S. Bancorp",0.2614
"Uber",-0.3132
"UDR, Inc.",-1.0000
"Ulta Beauty",-0.7325
"Union Pacific Corporation",-0.0917
"United Airlines Holdings",0.5267
"United Parcel Service",-0.0828
"United Rentals",-0.0813
"UnitedHealth Group",0.5179
"Universal Health Services",-0.4705
"Valero Energy",-0.0402
"Ventas",-0.2620
"Veralto",0.0408
"Verisign",0.1425
"Verisk Analytics",-0.4649
"Verizon",-0.4038
"Vertex Pharmaceuticals",-0.2245
"Viatris",0.3300
"Vici Properties",-0.5448
"Visa Inc.",-0.2804
"Vistra Corp.",0.4470
"Vulcan Materials Company",-0.4539
"W. R. Berkley Corporation",-0.1120
"W. W. Grainger",-0.4595
"Wabtec",0.4817
"Walmart",-0.4928
"Walt Disney Company (The)",0.2937
"Warner Bros. Discovery",0.2783
"Waste Management",-0.1172
"Waters Corporation",0.0908
"WEC Energy Group",0.1637
"Wells Fargo",-0.2635
"Welltower",-0.3310
"West Pharmaceutical Services",0.8436
"Western Digital",0.5697
"Weyerhaeuser",-0.4115
"Williams Companies",-0.2125
"Williams-Sonoma, Inc.",0.1275
"Willis Towers Watson",-0.4502
"Workday, Inc.",-0.7755
"Wynn Resorts",0.1112
"Xcel Energy",0.2966
"Xylem Inc.",0.3510
"Yum! Brands",0.0593
