company_name,score
"3M",-0.1838
"A. O. Smith",0.4837
"Abbott Laboratories",0.5760
"AbbVie",0.1826
"Accenture",0.1866
"Adobe Inc.",0.2142
"Advanced Micro Devices",-0.0880
"AES Corporation",0.6689
"Aflac",-0.1573
"Agilent Technologies",0.5723
"Air Products",0.1045
"Airbnb",0.6659
"Akamai Technologies",0.0638
"Albemarle Corporation",0.4647
"Alexandria Real Estate Equities",-0.1715
"Align Technology",-0.1377
"Allegion",-0.1913
"Alliant Energy",-0.2939
"Allstate",0.5953
"Alphabet Inc. (Class A)",0.3493
"Alphabet Inc. (Class C)",0.0765
"Altria",0.2902
"Amazon",0.8243
"Amcor",-0.1835
"Ameren",-0.2272
"American Electric Power",-0.0019
"American Express",-0.0914
"American International Group",0.0836
"American Tower",0.1980
"American Water Works",-0.2227
"Ameriprise Financial",0.2702
"Ametek",-0.3495
"Amgen",0.5118
"Amphenol",-0.7327
"Analog Devices",0.2251
"Aon plc",0.3564
"APA Corporation",-0.0769
"Apollo Global Management",0.1990
"Apple Inc.",0.2576
"Applied Materials",0.6817
"AppLovin",0.6090
"Aptiv",0.3438
"Arch Capital Group",0.1325
"Archer Daniels Midland",0.1018
"Arista Networks",0.0595
"Arthur J. Gallagher & Co.",0.0415
"Assurant",0.7437
"AT&T",-0.0771
"Atmos Energy",0.3517
"Autodesk",0.0653
"Automatic Data Processing",-0.0112
"AutoZone",0.1518
"AvalonBay Communities",1.0000
"Avery Dennison",0.4363
"Axon Enterprise",-0.3091
"Baker Hughes",0.2264
"Ball Corporation",0.8862
"Bank of America",0.4292
"Baxter International",0.2502
"Becton Dickinson",-0.1390
"Berkshire Hathaway",0.1869
"Best Buy",0.1129
"Bio-Techne",0.5679
"Biogen",0.2752
"BlackRock",0.1628
"Blackstone Inc.",0.1284
"Block, Inc.",0.4697
"BNY Mellon",0.3721
"Boeing",0.8199
"Booking Holdings",0.6761
"Boston Scientific",0.5006
"Bristol Myers Squibb",0.1592
"Broadcom",-0.3453
"Broadridge Financial Solutions",-0.0359
"Brown & Brown",0.3553
"Brown–Forman",0.4135
"Builders FirstSource",-0.0599
"Bunge Global",0.0399
"BXP, Inc.",0.2617
"C.H. Robinson",0.3923
"Cadence Design Systems",0.9110
"Camden Property Trust",0.7032
"Campbell's Company (The)",0.6597
"Capital One",0.3718
"Cardinal Health",0.3302
"Carnival",-0.5798
"Carrier Global",-0.1688
"Caterpillar Inc.",0.1254
"Cboe Global Markets",-0.5069
"CBRE Group",0.4876
"CDW Corporation",0.0355
"Cencora",0.4951
"Centene Corporation",0.6341
"CenterPoint Energy",0.0145
"CF Industries",0.1566
"Charles River Laboratories",0.4086
"Charles Schwab Corporation",0.3124
"Charter Communications",0.3289
"Chevron Corporation",0.0078
"Chipotle Mexican Grill",0.2893
"Chubb Limited",-0.2492
"Church & Dwight",0.0674
"Cigna",-0.2780
"Cincinnati Financial",1.0000
"Cintas",-0.0931
"Cisco",-0.0205
"Citigroup",0.6779
"Citizens Financial Group",0.6453
"Clorox",0.8669
"CME Group",-0.2671
"CMS Energy",0.0402
"Coca-Cola Company (The)",0.0627
"Cognizant",0.3361
"Coinbase",-0.3105
"Colgate-Palmolive",0.3597
"Comcast",0.3587
"Conagra Brands",-0.0267
"ConocoPhillips",1.0000
"Consolidated Edison",0.0795
"Constellation Brands",-0.3460
"Constellation Energy",0.1623
"Cooper Companies (The)",0.2429
"Copart",0.5593
"Corning Inc.",-0.1453
"Corpay",0.0280
"Corteva",0.1454
"CoStar Group",0.4573
"Costco",-0.1707
"Coterra",0.1580
"CrowdStrike",-0.2243
"Crown Castle",0.5729
"CSX Corporation",0.3694
"Cummins",-0.1938
"CVS Health",0.0243
"D. R. Horton",0.4316
"Danaher Corporation",-0.1579
"Darden Restaurants",-0.6083
"Datadog",-0.0012
"DaVita",0.0228
"Dayforce",0.3984
"Deckers Brands",-0.2703
"Deere & Company",0.3759
"Dell Technologies",0.2784
"Delta Air Lines",-0.0487
"Devon Energy",0.5623
